id_a,name_a,ctry_a,id_b,name_b,ctry_b,km,same_forecast
1850144,Tōkyō-to,JP,1850147,Tokyo,JP,0.0,True
1278343,Arumuganeri,IN,1267361,Kayalpattinam,IN,0.0,True
3175453,Ischia Porto,IT,3175458,Ischia,IT,0.26,True
2739848,Esposende,PT,2739849,Esposende,PT,0.33,True
1253133,Virar,IN,1253372,Vasai,IN,0.37,True
2782067,Baden,AT,8015353,Baden,AT,0.38,True
10722858,Svetlogorsk,BY,621074,Svyetlahorsk,BY,0.38,True
1783988,Zhucheng,CN,7602670,Zhu Cheng City,CN,0.46,True
8050888,Primer Ensanche,ES,3114472,Pamplona,ES,0.52,True
2660306,Zuerich (Kreis 10) / Hoengg,CH,6295539,Zuerich (Kreis 10),CH,0.57,False
6295504,Zuerich (Kreis 6) / Unterstrass,CH,6295550,Zuerich (Kreis 6),CH,0.6,True
3176059,Giugliano in Campania,IT,3164153,Villaricca,IT,0.65,True
1117652,Ban Talat Yai,TH,1151254,Phuket,TH,0.68,True
7284825,Budapest IX. keruelet,HU,7284826,Budapest VIII. keruelet,HU,0.76,True
563705,Dzerzhinskiy,RU,543731,Kotelniki,RU,0.78,True
3030960,Bourgoin,FR,6615539,Bourgoin-Jallieu,FR,0.82,True
3110921,Sant Adria de Besos,ES,6943537,Llefia,ES,0.82,True
2661666,Aussersihl,CH,6295498,Zuerich (Kreis 3) / Sihlfeld,CH,0.83,True
3130380,Algorta,ES,3121007,Getxo,ES,0.86,True
2639996,Portsmouth,GB,2637330,Southsea,GB,0.86,True
4845056,Wallingford,US,7257422,Wallingford Center,US,0.87,True
6295513,Zuerich (Kreis 9) / Altstetten,CH,6295534,Zuerich (Kreis 9),CH,0.88,True
2982757,Rosny-sous-Bois,FR,2990616,Neuilly-Plaisance,FR,0.9,False
2647644,Hale,GB,2649660,Farnham,GB,0.91,True
673441,Miercurea-Ciuc,RO,6942372,Miercurea Ciuc,RO,0.94,True
2112963,Edosaki,JP,6822108,Inashiki,JP,0.94,True
2913922,Guben,DE,3098130,Gubin,PL,0.95,True
685826,Baia Mare,RO,6697993,Baia Mare,RO,0.96,True
8125829,Kamigyo-ku,JP,1857910,Kyoto,JP,0.98,True
829005,Lesnoy,RU,520204,Nizhnyaya Tura,RU,0.99,True
5128723,Niagara Falls,US,6087892,Niagara Falls,CA,1.0,True
2975446,Schiltigheim,FR,3032551,Bischheim,FR,1.01,True
5744253,Oregon City,US,5760009,West Linn,US,1.02,True
3017924,Fontenay-aux-Roses,FR,3026083,Chatillon,FR,1.02,True
3126534,Canovelles,ES,3121145,Granollers,ES,1.03,True
2511994,Realejo Alto,ES,6692471,Los Realejos,ES,1.03,True
5327298,Bell,US,5371261,Maywood,US,1.03,True
3470709,Barra do Garcas,BR,3471840,Aragarcas,BR,1.04,True
8050888,Primer Ensanche,ES,8050879,Iturrama,ES,1.04,True
3621819,San Juan,CR,3624174,Colima,CR,1.05,True
2990265,Nogent-sur-Marne,FR,3012313,Joinville-le-Pont,FR,1.09,True
2990189,Noisy-le-Grand,FR,2990612,Neuilly-sur-Marne,FR,1.09,True
4896075,Hoffman Estates,US,4910713,Schaumburg,US,1.09,True
2980097,Saint-Fons,FR,2970072,Venissieux,FR,1.1,True
2911285,Wandsbek,DE,2911287,Marienthal,DE,1.1,True
3061370,Zlin,CZ,3061369,Zlin,CZ,1.11,True
3748726,Kingstown Park,VC,3577887,Kingstown,VC,1.11,True
2992017,Montrouge,FR,2996514,Malakoff,FR,1.11,True
2522297,Alaquas,ES,2522077,Aldaia,ES,1.12,True
3175755,Grugliasco,IT,3178388,Collegno,IT,1.13,True
2264359,Povoa de Santa Iria,PT,2261697,Vialonga,PT,1.15,True
2113126,Akita,JP,2113719,Akita Shi,JP,1.15,True
3017924,Fontenay-aux-Roses,FR,3035409,Bagneux,FR,1.15,True
4885342,Bourbonnais,US,4885418,Bradley,US,1.16,True
734301,Sykies,GR,734077,Thessaloniki,GR,1.17,True
2422488,Camayenne,GN,2422465,Conakry,GN,1.2,True
5102162,Old Bridge,US,5104835,South Old Bridge,US,1.2,True
3445746,Uniao da Vitoria,BR,3452623,Porto Uniao,BR,1.2,True
6295512,Zuerich (Kreis 9) / Albisrieden,CH,6295534,Zuerich (Kreis 9),CH,1.21,True
1259229,Pune,IN,6943660,Shivaji Nagar,IN,1.21,True
2983026,Romainville,FR,3000491,Les Lilas,FR,1.21,True
3861416,Chimbas,AR,3832653,Villa Paula de Sarmiento,AR,1.21,True
5105634,Union City,US,5106292,West New York,US,1.22,True
1689056,San Mateo,PH,1703116,Malanday,PH,1.23,True
2519466,Xirivella,ES,2513811,Mislata,ES,1.23,True
293788,Ramat Gan,IL,294999,Givatayim,IL,1.23,True
2790676,Mortsel,BE,2799007,Edegem,BE,1.23,True
2270184,Carcavelos,PT,2263352,Sao Domingos de Rana,PT,1.23,True
2791343,Menen,BE,3014034,Halluin,FR,1.24,False
5399629,Suisun,US,5347335,Fairfield,US,1.24,True
2636619,Strood,GB,2639268,Rochester,GB,1.24,False
3456370,Navegantes,BR,3460845,Itajai,BR,1.25,True
1224085,Wattala,LK,1230613,Peliyagoda,LK,1.25,True
2998056,Livry-Gargan,FR,3024596,Clichy-sous-Bois,FR,1.26,True
2992404,Montigny-les-Cormeilles,FR,3023645,Cormeilles-en-Parisis,FR,1.26,True
3109481,Santurtzi,ES,3113082,Portugalete,ES,1.26,True
5116060,East Setauket,US,7258965,Setauket-East Setauket,US,1.26,True
7284826,Budapest VIII. keruelet,HU,7284827,Budapest VII. keruelet,HU,1.26,False
4958141,Biddeford,US,4977222,Saco,US,1.26,False
4933002,Chicopee,US,4945588,North Chicopee,US,1.27,True
2968555,Villeneuve-la-Garenne,FR,3016321,Gennevilliers,FR,1.27,True
5016450,Anoka,US,5020859,Champlin,US,1.27,True
6618856,Santutxu,ES,3128026,Bilbao,ES,1.27,True
2644386,Litherland,GB,2655198,Bootle,GB,1.28,True
2885679,Konstanz,DE,2660108,Kreuzlingen,CH,1.28,True
3022700,Cran-Gevrier,FR,3037543,Annecy,FR,1.29,True
2264087,Ramada,PT,2265467,Odivelas,PT,1.3,True
3026083,Chatillon,FR,3035409,Bagneux,FR,1.3,True
5781070,Sandy Hills,US,5781061,Sandy City,US,1.3,True
4354256,Elkridge,US,4373104,West Elkridge,US,1.31,True
2659296,Onex,CH,6691640,Lancy,CH,1.32,True
2673730,Stockholm,SE,2685828,OEstermalm,SE,1.33,True
4956976,Auburn,US,4969398,Lewiston,US,1.34,True
2659099,Rapperswil,CH,2660221,Jona,CH,1.34,True
3515679,Tianguistenco,MX,3531598,Capulhuac,MX,1.35,True
2968368,Villers-les-Nancy,FR,3005417,Laxou,FR,1.36,True
2737824,Matosinhos,PT,2738348,Leca da Palmeira,PT,1.36,True
3002965,Le Perreux-sur-Marne,FR,3017910,Fontenay-sous-Bois,FR,1.36,False
1253102,Vishakhapatnam,IN,7302833,Gajuwaka,IN,1.36,True
4786714,South Suffolk,US,4788158,Suffolk,US,1.37,True
3000060,Les Pavillons-sous-Bois,FR,3031815,Bondy,FR,1.37,False
2968546,Villeneuve-le-Roi,FR,2989297,Orly,FR,1.37,True
2656168,Batley,GB,2651286,Dewsbury,GB,1.38,True
3114957,Oria,ES,3119027,Lasarte,ES,1.39,True
2828994,Steilshoop,DE,7932342,Barmbek-Nord,DE,1.39,True
665024,Targoviste,RO,6697994,Targoviste,RO,1.4,True
4288809,Covington,US,4302529,Newport,US,1.4,False
293844,Qiryat Bialik,IL,293831,Qiryat Motzkin,IL,1.4,True
3003737,Le Kremlin-Bicetre,FR,3016292,Gentilly,FR,1.41,True
2655882,Bentley,GB,2651123,Doncaster,GB,1.41,True
3109546,Sant Just Desvern,ES,3122826,Esplugues de Llobregat,ES,1.41,True
2967438,Wasquehal,FR,3022376,Croix,FR,1.41,True
2759113,Bergschenhoek,NL,6929992,Berkel en Rodenrijs,NL,1.41,True
6615440,Delicias,ES,6615442,Almozara,ES,1.42,True
2990187,Noisy-le-Sec,FR,3032179,Bobigny,FR,1.42,True
3178087,Cormano,IT,3181548,Bresso,IT,1.43,True
2639728,Radcliffe,GB,6691227,Radcliffe,GB,1.43,True
2521105,Benetusser,ES,2522057,Alfafar,ES,1.43,True
281109,An Nusayrat,PS,281161,Al Burayj,PS,1.43,True
2522250,Albal,ES,2519690,Catarroja,ES,1.43,True
3590389,San Benito,GT,3595725,Flores,GT,1.44,True
3570166,Petite Riviere Salee,MQ,3570446,La Trinite,MQ,1.44,True
4146429,Aventura,US,4166805,Ojus,US,1.45,True
5095611,Bergenfield,US,5097357,Dumont,US,1.45,True
2267067,Linda-a-Velha,PT,2270157,Carnaxide,PT,1.45,True
2968176,Villiers-le-Bel,FR,2976043,Sarcelles,FR,1.46,True
256614,Nea Ionia,GR,256621,Nea Filadelfeia,GR,1.46,True
1850693,Tanashi,JP,1850692,Nishi-Tokyo-shi,JP,1.46,True
261414,Kallithea,GR,256575,Nea Smyrni,GR,1.46,True
2998632,LHay-les-Roses,FR,3029276,Cachan,FR,1.46,True
5334519,Carson,US,5407908,West Carson,US,1.46,True
2657402,Altrincham,GB,6640028,Hale,GB,1.46,True
2761669,Weinzierl bei Krems,AT,2773549,Krems an der Donau,AT,1.46,True
2982757,Rosny-sous-Bois,FR,2968653,Villemomble,FR,1.46,False
4756955,East Hampton,US,4762894,Hampton,US,1.47,True
2972049,Trappes,FR,2992415,Montigny-le-Bretonneux,FR,1.47,True
2755251,Groningen,NL,2752420,Korrewegwijk,NL,1.47,True
2641673,Newcastle upon Tyne,GB,2648773,Gateshead,GB,1.47,True
2996148,Mantes-la-Jolie,FR,2996146,Mantes-la-Ville,FR,1.48,True
2112312,Katsuta,JP,6822096,Hitachi-Naka,JP,1.48,True
4931972,Cambridge,US,4951257,Somerville,US,1.48,True
2659310,Zuerich (Kreis 11) / Oerlikon,CH,6295504,Zuerich (Kreis 6) / Unterstrass,CH,1.49,True
2264736,Piedade,PT,2271961,Almada,PT,1.5,True
3000491,Les Lilas,FR,3035403,Bagnolet,FR,1.5,True
3013097,Houilles,FR,3032824,Bezons,FR,1.5,True
3018074,Fontainebleau,FR,3035654,Avon,FR,1.51,True
2973675,Suresnes,FR,2985034,Puteaux,FR,1.51,True
2918987,Gorlitz,DE,3080231,Zgorzelec,PL,1.52,True
2650396,Eastleigh,GB,2655557,Bishopstoke,GB,1.52,True
3128760,Barcelona,ES,6544106,Ciutat Vella,ES,1.52,True
